Country Group,Country,indicator code,ISO,Subject Descriptor,Units,Scale,notes,2019,2020,2021,2022,FY,latitude,longitude
Emerging Asia,Tonga,LP,TON,Population,Persons,Millions,"Source: Central Bank. National Reserve Bank of Tonga Latest actual data: FY2019/20 Notes: Prior to 1995, the data are in fiscal year (FY) reporting basis converted to calendar year by averaging two FYs (e.g. 1990 is the average of 1989/90 and 1990/91), and are further adjusted to produce a smooth series with the use of a splicing technique. These estimates continue to serve as proxies for historical series when complete information is unavailable. Primary domestic currency: Tongan pa'anga Data last updated: 08/2023",0,0,0,0,2020.0,-21.178986,-175.198242
Emerging Africa ,Angola,NGDPPC,AGO,"Gross domestic product per capita, current prices",National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",953015,988408,1370007,1589900,2021.0,-11.202692,17.873887
Emerging Africa ,Angola,NGDPDPC,AGO,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",2612,1709,2170,3438,2021.0,-11.202692,17.873887
Emerging Africa ,Angola,PPPEX,AGO,Implied PPP conversion rate,National currency per current international dollar,,"See notes for:  Gross domestic product, current prices (National currency).",139,155,210,229,2022.0,-11.202692,17.873887
Emerging Africa ,Angola,NID_NGDP,AGO,Total investment,Percent of GDP,,"Source: National Statistics Office. Ministry of Planning Latest actual data: 2022. Starting from the year 2002, historical National Accounts data are provided by Angola's National Institute of Statistics (INE). Data for prior years are based on different sources and/or estimated by IMF staff, including using a ratio slicing method in order to avoid breaks in the data. Notes: Starting from the year 2002, the composition of aggregate demand was revised taking into account updated information from the authorities' National Accounts statistics. Data for prior years are based on [old information] and/or estimated by IMF staff, including using a ratio slicing method in order to avoid breaks in the data. National accounts manual used: European System of Accounts (ESA) 1995 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2002 Chain-weighted: No Primary domestic currency: Angolan kwanza Data last updated: 09/2023",21,25,25,24,2022.0,-11.202692,17.873887
Emerging Africa ,Angola,PCPIPCH,AGO,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",17,22,26,21,2022.0,-11.202692,17.873887
Emerging Africa ,Angola,LP,AGO,Population,Persons,Millions,Source: National Statistics Office Latest actual data: 2021 Primary domestic currency: Angolan kwanza Data last updated: 09/2023,32,33,35,36,2021.0,-11.202692,17.873887
Emerging Asia,Tuvalu,NID_NGDP,TUV,Total investment,Percent of GDP,,,0,0,0,0,,-7.109535,177.64933
Emerging Asia,Tuvalu,NGDP,TUV,"Gross domestic product, current prices",National currency,Billions,Source: PFTAC advisors Latest actual data: 2021 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2016 Chain-weighted: No Primary domestic currency: Australian dollar Data last updated: 09/2023,0,0,0,0,2021.0,-7.109535,177.64933
Emerging Asia,Tuvalu,NGDPD,TUV,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",0,0,0,0,2021.0,-7.109535,177.64933
Emerging Asia,Tuvalu,PPPEX,TUV,Implied PPP conversion rate,National currency per current international dollar,,"See notes for:  Gross domestic product, current prices (National currency).",1,1,1,1,2021.0,-7.109535,177.64933
Emerging Asia,Tuvalu,PCPIPCH,TUV,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",3,2,6,11,2022.0,-7.109535,177.64933
Emerging Asia,Tuvalu,LP,TUV,Population,Persons,Millions,Source: Central Statistical Directorate Latest actual data: 2017 Primary domestic currency: Australian dollar Data last updated: 09/2023,0,0,0,0,2017.0,-7.109535,177.64933
Emerging Africa ,Benin,NGDPPC,BEN,"Gross domestic product per capita, current prices",National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",686082,712546,753980,811252,2021.0,9.30769,2.315834
Emerging Africa ,Benin,NGDPDPC,BEN,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",1171,1240,1360,1303,2021.0,9.30769,2.315834
Emerging Africa ,Benin,PPPEX,BEN,Implied PPP conversion rate,National currency per current international dollar,,"See notes for:  Gross domestic product, current prices (National currency).",209,212,206,200,2022.0,9.30769,2.315834
Emerging Africa ,Benin,NID_NGDP,BEN,Total investment,Percent of GDP,,Source: National Statistics Office Latest actual data: 2022 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: No Primary domestic currency: CFA franc Data last updated: 08/2023,26,26,29,37,2022.0,9.30769,2.315834
Emerging Africa ,Benin,PCPIPCH,BEN,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",-1,3,2,1,2022.0,9.30769,2.315834
Emerging Africa ,Benin,LP,BEN,Population,Persons,Millions,Source: International Financial Institution Latest actual data: 2021 Primary domestic currency: CFA franc Data last updated: 08/2023,12,13,13,13,2021.0,9.30769,2.315834
Emerging Africa ,Botswana,NGDPPC,BWA,"Gross domestic product per capita, current prices",National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",71840,67170,80258,95706,2020.0,-22.328474,24.684866
Emerging Africa ,Botswana,NGDPDPC,BWA,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",6679,5863,7239,7738,2020.0,-22.328474,24.684866
Emerging Africa ,Botswana,PPPEX,BWA,Implied PPP conversion rate,National currency per current international dollar,,"See notes for:  Gross domestic product, current prices (National currency).",5,5,5,5,2021.0,-22.328474,24.684866
Emerging Africa ,Botswana,NID_NGDP,BWA,Total investment,Percent of GDP,,"Source: National Statistics Office Latest actual data: 2021 National accounts manual used: System of National Accounts (SNA) 2008. The authority just updated and rebased their Nas using 2008 SNA from 2014 onwards. Before that, data are still based on 1993 SNA GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2016 Chain-weighted: No Primary domestic currency: Botswana pula Data last updated: 09/2023",31,33,27,25,2021.0,-22.328474,24.684866
Emerging Africa ,Botswana,PCPIPCH,BWA,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",3,2,7,12,2022.0,-22.328474,24.684866
Emerging Africa ,Botswana,LP,BWA,Population,Persons,Millions,Source: International Financial Institution. World Development Indicators Latest actual data: 2020 Primary domestic currency: Botswana pula Data last updated: 09/2023,3,3,3,3,2020.0,-22.328474,24.684866
Emerging Africa ,Burkina Faso,NGDPPC,BFA,"Gross domestic product per capita, current prices",National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",452437,479221,494260,517643,2020.0,12.238333,-1.561593
Emerging Africa ,Burkina Faso,NGDPDPC,BFA,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",772,834,892,832,2020.0,12.238333,-1.561593
Emerging Africa ,Burkina Faso,PPPEX,BFA,Implied PPP conversion rate,National currency per current international dollar,,"See notes for:  Gross domestic product, current prices (National currency).",205,216,205,203,2021.0,12.238333,-1.561593
