Country Group,ISO,indicator code,Country,Subject Descriptor,Units,Scale,notes,2019,2020,2021,2022,FY
Emerging Africa ,GNQ,LP,Equatorial Guinea,Population,Persons,Millions,Source: Population series is based on United Nations (UN) estimates. The last national census was conducted in 2015. Population figures used by the country authorities differ substantially from the UN estimates. Latest actual data: 2015 Notes: Population series is based on United Nations (UN) estimates. The last national census was conducted in 2015. Population figures used by the country authorities differ substantially from the UN estimates. Primary domestic currency: CFA franc Data last updated: 09/2023,1,1,1,1,2015.0
Emerging Africa ,ERI,NGDPPC,Eritrea,"Gross domestic product per capita, current prices",National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",8543,0,0,0,2006.0
Emerging Africa ,ERI,NGDPDPC,Eritrea,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",567,0,0,0,2006.0
Emerging Africa ,ERI,PPPEX,Eritrea,Implied PPP conversion rate,National currency per current international dollar,,"See notes for:  Gross domestic product, current prices (National currency).",5,0,0,0,2019.0
Emerging Africa ,ERI,NID_NGDP,Eritrea,Total investment,Percent of GDP,,Source: Authorities up to 2009 and IMF staff estimates for 2010-19 Latest actual data: 2019 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2011 Chain-weighted: No Primary domestic currency: Eritrean nakfa Data last updated: 09/2023,5,0,0,0,2019.0
Emerging Africa ,ERI,PCPIPCH,Eritrea,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",1,0,0,0,2019.0
Emerging Africa ,ERI,LP,Eritrea,Population,Persons,Millions,Source: UN Population Prospects 2006 Latest actual data: 2006 Primary domestic currency: Eritrean nakfa Data last updated: 09/2023,3,0,0,0,2006.0
Emerging Africa ,SWZ,NGDPPC,Eswatini,"Gross domestic product per capita, current prices",National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",58265,58201,61566,68754,2017.0
Emerging Africa ,SWZ,NGDPDPC,Eswatini,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",4032,3535,4165,4202,2017.0
Emerging Africa ,SWZ,PPPEX,Eswatini,Implied PPP conversion rate,National currency per current international dollar,,"See notes for:  Gross domestic product, current prices (National currency).",6,6,6,6,2021.0
Emerging Africa ,GIN,NGDPPC,Guinea,"Gross domestic product per capita, current prices",National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",9059989,9648202,10802679,12029446,2014.0
Emerging Africa ,SWZ,NID_NGDP,Eswatini,Total investment,Percent of GDP,,"Source: National Statistics Office. Updated methodology has been applied to the series. Prior to 2000, the data are adjusted using previous historical data as proxies to produce smooth series with the use of splicing technique. Historical data are updated on a continual basis as more information becomes available. Prior to 1990, trade data are calculated from external sector statistics. Latest actual data: 2021 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2011 Chain-weighted: No Primary domestic currency: Swazi lilangeni Data last updated: 09/2023",14,12,14,16,2021.0
Emerging Africa ,SWZ,PCPIPCH,Eswatini,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",3,4,4,5,2022.0
Emerging Africa ,SWZ,LP,Eswatini,Population,Persons,Millions,Source: National Statistics Office Latest actual data: 2017 Primary domestic currency: Swazi lilangeni Data last updated: 09/2023,1,1,1,1,2017.0
Emerging Africa ,ETH,NGDPPC,Ethiopia,"Gross domestic product per capita, current prices",National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",27569,33845,42604,59160,2022.0
Emerging Africa ,ETH,NGDPDPC,Ethiopia,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",949,969,974,1156,2022.0
Emerging Africa ,ETH,PPPEX,Ethiopia,Implied PPP conversion rate,National currency per current international dollar,,"See notes for:  Gross domestic product, current prices (National currency).",10,12,14,17,2022.0
Emerging Africa ,ETH,NID_NGDP,Ethiopia,Total investment,Percent of GDP,,Source: National Statistics Office Latest actual data: FY2021/22 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Factor costs. Data refer to fiscal years (July/June). Data for 2011 represent fiscal year 2010/11. Reporting in calendar year: No. Fiscal year data are mapped to calendar year as follows: FY(t-1/t) = CY(t). Start/end months of reporting year: July/June Base year: FY2015/16 Chain-weighted: No Primary domestic currency: Ethiopian birr Data last updated: 09/2023,35,31,28,25,2022.0
Emerging Africa ,ETH,PCPIPCH,Ethiopia,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",16,20,27,34,2022.0
Emerging Africa ,ETH,LP,Ethiopia,Population,Persons,Millions,Source: International Financial Institution. Human Development Indicators Latest actual data: FY2021/22 Primary domestic currency: Ethiopian birr Data last updated: 09/2023,98,100,102,104,2022.0
Emerging Africa ,GAB,NGDPPC,Gabon,"Gross domestic product per capita, current prices",National currency,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",4737785,4182088,5252031,6081643,2015.0
Emerging Africa ,GAB,NGDPDPC,Gabon,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",8087,7276,9476,9771,2015.0
Emerging Africa ,GAB,PPPEX,Gabon,Implied PPP conversion rate,National currency per current international dollar,,"See notes for:  Gross domestic product, current prices (National currency).",291,262,314,334,2021.0
Emerging Africa ,GAB,NID_NGDP,Gabon,Total investment,Percent of GDP,,Source: Ministry of Economy and/or Planning Latest actual data: 2021 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2001 Chain-weighted: No Primary domestic currency: CFA franc Data last updated: 09/2023,32,30,32,31,2021.0
Emerging Africa ,GAB,PCPIPCH,Gabon,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",2,2,1,4,2022.0
